current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
1,11,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,40,32,0
1,39,6,1,0,2,1,6,0,1,2,1,0,0,0,0,0,0,47,30,0
1,15,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,26,42,1
1,73,5,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,18,15,0
1,5,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,31,38,1
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,32,1
1,35,6,2,0,2,0,6,0,1,2,0,0,0,0,1,1,0,31,24,0
0,40,7,0,1,2,0,7,2,1,2,0,0,1,0,2,1,0,25,44,1
0,30,7,1,0,2,1,7,1,2,2,0,0,1,0,1,1,0,33,32,0
1,29,5,1,1,2,0,6,0,2,2,0,0,1,0,3,2,0,31,35,0
1,73,4,1,0,1,0,1,0,0,0,0,0,0,1,0,3,0,34,5,0
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,32,0
1,15,6,2,2,2,0,6,2,2,2,0,0,0,0,0,0,0,35,39,1
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,32,0
0,20,8,0,1,2,1,7,1,1,2,1,0,0,0,0,0,0,34,37,0
0,2,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,30,1
0,22,6,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,34,39,1
0,110,2,0,0,0,0,1,0,0,0,1,0,0,2,1,2,1,10,27,1
0,44,6,1,1,1,1,6,1,1,1,1,0,0,0,0,0,0,32,41,1
0,32,6,1,1,2,1,6,1,1,2,1,0,0,0,1,1,0,40,33,0
0,36,7,1,2,2,1,8,1,2,2,1,0,0,0,0,0,0,28,36,1
1,21,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,49,37,0
1,29,7,1,1,2,1,7,1,1,2,1,1,0,3,0,0,1,30,45,1
0,24,8,1,0,2,1,8,0,0,2,1,1,0,1,0,0,1,37,34,0
0,32,8,1,0,2,1,8,0,1,2,1,0,1,0,0,0,0,33,39,0
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,29,29,0
1,11,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,37,43,1
1,71,5,1,1,0,0,3,0,1,0,0,0,0,1,2,3,0,26,16,0
0,12,6,2,2,2,1,7,2,2,2,1,0,0,1,0,0,0,42,42,0
1,65,7,0,0,1,0,8,0,0,1,0,1,1,2,1,2,1,21,19,1
1,17,6,2,2,2,1,6,2,2,2,1,0,0,2,1,1,1,38,39,1
0,54,5,1,1,1,0,3,0,1,1,0,0,0,2,3,4,2,39,22,0
0,12,6,2,2,2,1,6,2,2,2,1,0,0,1,0,0,0,44,43,1
1,13,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,43,43,0
1,33,6,2,2,2,1,5,2,1,2,1,0,0,0,1,1,0,46,31,0
0,82,5,1,0,0,1,3,0,0,0,0,0,1,0,0,3,0,40,11,0
0,32,4,1,2,2,1,6,2,2,2,1,0,0,4,0,0,4,45,52,1
0,30,5,2,2,2,0,6,2,2,2,0,0,0,0,0,0,0,39,40,1
0,28,8,2,0,2,1,8,0,2,2,1,0,1,0,0,0,0,30,29,1
1,9,8,1,2,2,1,6,2,2,2,1,0,0,0,0,0,0,41,22,0
1,5,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,33,32,1
1,43,6,1,1,2,0,5,1,1,2,0,0,0,1,1,1,1,46,22,0
0,34,7,1,1,2,1,6,1,1,2,1,2,0,5,0,0,1,37,43,1
1,15,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,43,1
0,18,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,37,30,0
0,8,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,39,1
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,20,0
1,9,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,42,36,0
1,5,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,29,0
1,61,4,0,0,2,1,3,0,0,2,1,0,0,1,1,3,0,56,35,0
0,68,4,0,0,2,0,4,0,0,2,0,0,0,2,0,0,0,23,34,1
1,19,8,2,2,2,1,8,1,2,2,1,0,0,0,0,0,0,41,37,1
0,12,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,27,48,0
0,18,6,2,1,2,1,8,1,2,2,1,0,2,0,0,0,0,29,40,0
0,84,3,0,0,0,1,1,1,0,1,0,0,0,1,1,2,0,32,27,0
0,2,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,27,27,1
0,68,6,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,23,30,1
